ZIP,NAME,FACILITY_TYPE,latitude,longitude
33155,Nicklaus Children's Hospital,Hospital,,
33196,West Kendall Baptist Hospital,Hospital,,
33143,South Miami Hospital East Tower,Hospital,,
33134,Coral Gables Hospital,Hospital,,
33013,Hialeah Hospital,Hospital,,
33033,Homestead Hospital,Hospital,,
33136,Jackson Behavioral Health Hospital,Hospital,,
33125,Miami VA Healthcare System,Hospital,,
33014,Promise Hospital of Miami Lakes,Hospital,,
33173,HealthSouth Rehabilitation Hospital of Miami,Hospital,,
33189,Helping Hands Extended Care,Hospital,,
33169,Jackson North Medical Center,Hospital,,
33176,Jackson South Community Hospital,Hospital,,
33175,Kendall Regional Medical Center,Hospital,,
33134,Kindred Hospital South Florida - Coral Gables,Hospital,,
33015,Larkin Community Hospital - Palm Springs Campus,Hospital,,
33170,South Florida Evaluation & Treatment Center ,Hospital,,
33143,South Miami Hospitall,Hospital,,
33010,Southern Winds Hospital,Hospital,,
33193,St Catherine's West Rehabilitation Hospital,Hospital,,
33016,St. Catherine's Rehabilitation Hospital,Hospital,,
33136,University of Miami Hospital & Clinics,Hospital,,
33136,University of Miami Hospital,Hospital,,
33174,West Gables Rehabilitation Hospital,Hospital,,
33165,Westchester General Hospital,Hospital,,
33133,Mercy Hospital Medical Partners,Hospital,,
33133,Mercy General Hospital,Hospital,,
33180,Aventura Hospital,Hospital,,
33176,Baptist Hospital,Hospital,,
33136,Anne Bates Leach Eye Hospital - Bascom Palmer,Hospital,,
33146,Doctors Hospital,Hospital,,
33143,Larkin Community Hospital - South Miami Campus,Hospital,,
33140,Mount Sinai Medical Center,Hospital,,
33150,North Shore Medical Center,Hospital,,
33016,Palmetto General Hospital,Hospital,,
33136,Select Specialty Hospital,Hospital,,
33133,Sister Emmanuel Hospital - Mercy Outpatient,Hospital,,
33125,The Miami Medical Center,Hospital,,
33189,Cutler Bay Fire 34,Fire Station,25.57091,-80.36734
33166,Miami Springs Fire 35,Fire Station,25.82138,-80.28455
33175,West Bird Fire St 37,Fire Station,25.72814,-80.42414
33169,Norland Fire 38,Fire Station,25.95727,-80.21279
33144,West Miami Fire St 40,Fire Station,25.76194,-80.29556
33033,Modello Fire 6,Fire Station,25.49905,-80.44897
33196,Hammocks Fire 36,Fire Station,25.67319,-80.44357
33138,North Bay Village Fire 27,Fire Station,25.84961,-80.16713
33180,Aventura Fire 8,Fire Station,25.9605,-80.14334
33177,Richmond Fire Station 43,Fire Station,25.62597,-80.41008
33147,West Little River Fire 7,Fire Station,25.85997,-80.23449
33183,Kendall Fire 9,Fire Station,25.69545,-80.38128
33138,Miami Shores Fire 30,Fire Station,25.86281,-80.19371
33016,Hialeah Gardens Fire 28,Fire Station,25.86799,-80.33866
33149,Key Biscayne Fire 15,Fire Station,25.70282,-80.16083
33166,Virginia Gardens Fire 17,Fire Station,25.80902,-80.31186
33160,Interama Fire 22,Fire Station,25.91956,-80.15538
33186,Tamiami Air Rescue Sta 24,Fire Station,25.64943,-80.42099
33132,Port Of Miami Fire St 39,Fire Station,25.77485,-80.16971
33143,South Miami Fire St 14,Fire Station,25.70585,-80.2886
33109,Fisher Island Fire 42,Fire Station,25.76324,-80.13973
33168,North Miami West Fire 19,Fire Station,25.89446,-80.21021
33015,Palm Springs North 44,Fire Station,25.94188,-80.32654
33178,Medley Fire 46,Fire Station,25.87017,-80.36446
33156,Pinecrest Fire Station 49,Fire Station,25.67059,-80.28443
33172,Fountainebleau Fire 48,Fire Station,25.79111,-80.33879
33178,Doral Fire 45,Fire Station,25.82573,-80.35439
33165,Westchester Fire St 47,Fire Station,25.74769,-80.34691
33142,MIA Fire Station 12,Fire Station,25.79742,-80.29236
33030,Homestead Fire 16,Fire Station,25.47233,-80.48313
33161,North Miami East Fire 20,Fire Station,25.89572,-80.16692
33055,Honey Hill Fire 51,Fire Station,25.95531,-80.27985
33177,South Miami Heights 52,Fire Station,25.58624,-80.38757
33186,Turnpike Fire Station 53,Fire Station,25.65874,-80.38735
33157,Perrine Fire Station 50,Fire Station,25.60331,-80.34951
33160,Aventura South Fire 33,Fire Station,25.93996,-80.14829
33054,Bunche Park Fire 54,Fire Station,25.91333,-80.24463
33178,Fire Headquarters 87,Fire Station,25.8101,-80.34915
33189,Saga Bay Fire Station 55,Fire Station,25.56636,-80.33094
33193,West Sunset Fire St 56,Fire Station,25.69824,-80.45615
33183,West Kendall Fire St 57,Fire Station,25.68885,-80.40107
33178,Doral North Fire 69,Fire Station,25.84107,-80.37794
33032,Coconut Palm Fire 70,Fire Station,25.53754,-80.37734
33158,Palmetto Bay North,Fire Station,25.63777,-80.3075
33184,Tamiami Fire Station 58,Fire Station,25.7618,-80.40118
33016,Miami Lakes West Fire 64,Fire Station,25.90192,-80.33278
33054,Opa-Locka Airport Fire 25,Fire Station,25.90912,-80.27676
33031,Redland Fire Station 60,Fire Station,25.5361,-80.47684
33166,MIA Northside Fire Sta 59,Fire Station,25.80647,-80.28871
33160,Sunny Isles Fire St 10,Fire Station,25.9356,-80.12319
33132,Fireboat Fire Sta 73,Fire Station,25.77944,-80.18001
33194,Trail Fire Station 61,Fire Station,25.75757,-80.44044
33179,Highland Oaks Fire 63,Fire Station,25.96495,-80.16953
33035,Village Homestead Fire 66,Fire Station,25.4622,-80.43122
33035,East Homestead Fire 65,Fire Station,25.44744,-80.45893
33154,Bay Harbor Island Fire 76,Fire Station,25.88591,-80.13229
33173,Logistics Fire Station 88,Fire Station,25.71255,-80.3352
33160,Eastern Shores Fire 78,Fire Station,25.93172,-80.13578
