X,Y,OBJECTID,FOLIO,ID,NAME,ADDRESS,CITY,ZIPCODE,MUNICID,TYPE,LAT,LON,POINT_X,POINT_Y,GlobalID
-8946451.1202,2946032.7919,1,3660070000552,34,Cutler Bay Fire 34,10850 SW 211TH ST,Cutler Bay,33189,30,B,25.57091,-80.36734,864717.36211397,450235.77142892,{A878BAEF-0A5E-4466-AA76-32AC09A8C5CA}
-8937233.8914,2976975.7939,2,0530240061390,35,Miami Springs Fire 35,201 WESTWARD DR,Miami Springs,33166,05,B,25.82138,-80.28455,891519.24834694,541412.02162584,{CA6C96D2-F049-45D4-83BE-82B5430EE6BC}
-8952773.9782,2965448.7998,3,3049220220920,37,West Bird Fire St 37,4200 SW 142ND AVE,Miami-Dade,33175,30,B,25.72814,-80.42414,845745.1250403,507295.56258606,{2636A092-18C9-4053-97D6-F1D924297429}
-8929247.6807,2993790.7169,4,3411360000094,38,Norland Fire 38,575 NW 199TH ST,Miami Gardens,33169,30,B,25.95727,-80.21279,914823.16516864,590939.43363997,{B3264F37-085A-4F10-A3FA-7919F2C40D82}
-8938445.1536,2969626.903,5,1540120000170,40,West Miami Fire St 40,975 SW 62ND AVE,West Miami,33144,15,B,25.76194,-80.29556,888055.43829571,519788.5758457,{9820FF39-62D1-430F-86F2-2ED4FDE82C4B}
-8955538.567,2937167.9609,6,3079050030010,6,Modello Fire 6,15890 SW 288TH ST,Miami-Dade,33033,30,B,25.49905,-80.44897,837915.39396101,424000.36455649,{3AD3287C-ABBD-4FB7-9C38-E01AED918178}
-8954936.5177,2958660.8018,7,3059040120010,36,Hammocks Fire 36,10001 HAMMOCKS BLVD,Miami-Dade,33196,30,B,25.67319,-80.44357,839433.81265043,487298.21856744,{3C652C48-FF19-43D0-A8E0-06B1AA4AE862}
-8924164.1727,2980467.5593,8,2332090010070,27,North Bay Village Fire 27,1275 NE 79TH ST,North Bay Village,33138,23,B,25.84961,-80.16713,930077.01145485,551900.82009961,{AFF0E1C5-53E6-4BD6-A348-C3B04BF5DA6B}
-8921515.1625,2994190.2916,9,2822030320020,8,Aventura Fire 8,2900 AVENTURA BLVD,Aventura,33180,28,B,25.9605,-80.14334,937640.12493389,592255.81303319,{B7DFD4C6-1B22-44C0-BDBC-9FEB450C10E2}
-8951209.8018,2952829.9694,10,3059260030010,43,Richmond Fire Station 43,13390 SW 152ND ST,Miami-Dade,33177,30,B,25.62597,-80.41008,850536.63250077,470184.7276075,{F95F0632-9A3E-4961-926A-2A705C78DF52}
-8931662.5854,2981748.7948,11,3031030070450,7,West Little River Fire 7,9350 NW 22ND AVE,Miami-Dade,33147,30,B,25.85997,-80.23449,907901.43793019,555530.68711099,{00E27EA3-CE4E-4D70-8E7C-E9A8CD5B1EB1}
-8948003.7398,2961410.1428,12,3040310000171,9,Kendall Fire 9,7777 SW 117TH AVE,Miami-Dade,33183,30,B,25.69545,-80.38128,859908.17785349,495478.91207906,{BE79EEC8-31E5-4EDD-9F7C-38A17139AEF5}
-8927122.7228,2982099.3614,13,1132060132660,30,Miami Shores Fire 30,9500 NE 2ND AVE,Miami Shores,33138,11,B,25.86281,-80.19371,921306.68722268,556640.93760802,{5CC49144-EFC8-4FD7-B97B-2B40C1C6C6DC}
-8943259.4319,2982740.2667,14,2730030440020,28,Hialeah Gardens Fire 28,8790 NW 103RD ST,Hialeah Gardens,33016,27,R,25.86799,-80.33866,873627.94721027,558257.55840953,{B1D1D2FD-DCF2-4284-829F-335CA88362D6}
-8923462.701,2962321.1802,15,3042320010010,15,Key Biscayne Fire 15,2 CRANDON BLVD,Miami-Dade,33149,30,B,25.70282,-80.16083,932489.32198509,498559.76404993,{DBB95D17-2EEE-4A75-9272-A5B0D01EE65B}
-8940275.3013,2975446.5552,16,3030260050010,17,Virginia Gardens Fire 17,7050 NW 36TH ST,Miami-Dade,33166,30,S,25.80902,-80.31186,882555.07579459,536869.33106161,{84E5B7CB-952C-4D05-A746-57EF33A70936}
-8922856.2214,2989121.7199,17,0622160000020,22,Interama Fire 22,15655 BISCAYNE BLVD,North Miami,33160,06,S,25.91956,-80.15538,933777.68729829,577347.6875793,{884A8BC4-7623-4058-BFBF-0EC7416E976F}
-8952423.4174,2955725.9474,18,3059150000010,24,Tamiami Air Rescue Sta 24,14150 SW 127TH ST,Miami-Dade,33186,30,A,25.64943,-80.42099,846907.18404939,478693.13388743,{DF93FFD7-1BE6-46E5-A4B1-AEC25610DA39}
-8924451.0951,2971222.5706,19,0142050000010,39,Port Of Miami Fire St 39,641 EUROPE WAY,Miami,33132,01,S,25.77485,-80.16971,929400.78796621,524721.36279428,{2F614129-2751-45DF-BA6D-10A4A5643B20}
