X,Y,OBJECTID,FOLIO,NAME,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,EMAIL,DIRCTNAME,YEARESTB,TYPE,GRDLEVEL,COED,STREGFLG,CHLDCAREID,ENROLLMENT,STATUS,WEBSITE,LAT,LON,POINT_X,POINT_Y,CREATEDBY,CREATEDDATE,MODIFIEDBY,MODIFIEDDATE,GlobalID,CreationDate,Creator,EditDate,Editor
-8926097.603,2978237.9867,1,0132180340010,The Cushman School,592 NE 60th St, ,Miami,33137,305-757-1966,,Arvi Balseiro,1926,N,PK-12,C,Y,326,510,Active,http://www.cushmanschool.org/,25.83159,-80.1845,924405.428217568,545313.09631747,ABREUI,2018/04/30 16:37:05+00,ABREUI,2018/04/30 16:37:05+00,c46d57ca-2f17-4ffc-a8c7-339362249c4a,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8946243.1683,2977706.9542,2,3530170010391,Divine Savior Lutheran Academy,10311 NW 58th St, ,Doral,33178,305-597-4545,,Timothy Biesterfeld,2004,Y,PK-12,C,Y,4537,885,Active,http://divinesavioracademy.com/doral/,25.8273,-80.36547,864885.625538137,543424.249723718,E316899,2020/11/04 18:20:05+00,E316899,2020/11/04 18:20:05+00,b19a90ee-1c60-4ad5-a0ac-5106c8e42f90,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8941108.2687,2969585.1311,3,3040110220010,Apple Learning Center,860 SW 76th Ct, ,Miami-Dade,33144,305-261-4133,,Heydi Ruiz,2015,N,PK-04,C,Y,8730,285,Active,https://childcarecenter.us/provider_detail/apple_learning_center_miami_fl,25.76161,-80.31934,880182.375120379,519624.374885544,ABREUI,2018/04/13 16:20:00+00,E316899,2021/07/29 09:32:48+00,b1e0544a-6c85-4246-9f4a-3c537b33246c,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8946716.3822,2962321.7769,4,3040300650030,Kayleen's Learning Center,10855 SW 72nd St,30,Miami-Dade,33173,305-274-5553,,Marisol Amarante,2000,N,PK-05,C,Y,6344,108,Active,https://www.facebook.com/Kayleens-Learning-Center-101330616618593/,25.70283,-80.36972,863703.636929032,498178.943313591,E316899,2020/11/04 18:20:05+00,E316899,2020/11/04 18:20:05+00,e0143f7a-49b8-4abb-8264-07343023dc7f,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8937091.7028,2957997.1937,5,2051070000060,True North Early Learning Acadmey ,11295 SW 57th Ave,,Pinecrest,33156,786-628-7801,,Christina Schmiedeler,,,PK-KG,C,,8152,,Active,https://www.tnclassical.org/our-schools/,25.66782,-80.28326,892242.722783148,485599.551889174,E316899,2020/12/07 10:43:52+00,E316899,2020/12/07 10:51:49+00,57bfa075-f0cd-4ce4-813c-b16b061e385f,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8946518.6586,2974685.0199,6,3530291000020,E Online School,3105 NW 107th Ave,400-01,Doral,33172,305-762-9194,,Dr. Jose Gerardo Guarisma Jr,,,09-12,C,,9631,,Active,https://eonlineschool.us/,25.80286,-80.36794,864114.239901204,534538.315267652,E316899,2021/08/03 10:28:53+00,E316899,2021/08/03 10:31:08+00,374aa0cb-4e70-4ef2-b126-10f9825d8e6a,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8923598.4605,2990869.9992,7,0722090042480,Levy Learning Center,17101 NE 19th Ave,Suite 201,North Miami Beach,33162,305-496-7208,,Dr. Deborah Levy,,,Pk-12,C,,8558,,Active,http://www.levylearningcenter.com/,25.93368,-80.16205,931553.231053229,582467.50760629,E316899,2021/08/13 10:15:58+00,E316899,2021/08/13 10:27:38+00,5b252aca-a8e6-4f70-9d4f-663d39855262,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8949031.715,2966610.1502,8,3049130000052,Highpoint Academy - Main Campus,12101 SW 34th St, ,Miami-Dade,33175,305-552-0202,,Ms. Alicia A. Casanova,1976,N,PK-08,C,Y,2896,236,Active,http://www.highpointacademy.com/highpoint/about/maincampus.html,25.73753,-80.39052,856796.624570601,510760.999773294,ABREUI,2018/04/30 16:37:05+00,ABREUI,2018/04/30 16:37:05+00,e4f7aea1-7bb6-4328-830f-92695db8865f,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8952336.8852,2965626.603,9,3049150710010,A Sunny Start Preschool II - Bird Road ,13911 SW 42nd St,108,Miami-Dade,33175,305-553-9800,,Jennifer Vazquez,2015, ,PK-06, , , ,102,Active,http://www.sunnystartpreschool.com/,25.72958,-80.42021,847035.473585512,507824.188250564,ABREUI,2018/04/13 16:20:00+00,ABREUI,2018/04/13 16:20:00+00,656fb3e6-6932-48d1-8f1f-df2e8a767f89,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8940763.7628,2965868.1266,10,3040230000270,Coliseo De Las Artes,4180 SW 74th Ct,202-204,Miami,33155,786-587-4190,,Roxana Pollo,,,KG-12,C,,8944,,Active,http://coliseodelasartes.com/,25.73153,-80.31624,881257.602963958,508698.413313501,E316899,2021/08/02 08:01:18+00,E316899,2021/08/02 08:08:19+00,ad888470-e024-457a-b3f9-c656d15182cc,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8933117.3614,2964617.6132,11,0141280040040,Chabad of The Grove,3713 Main Hwy, ,Miami,33133,305-445-5444,,Chana Fellig,1989, ,PK-KG, , ,6786,7,Active,http://www.chabadmiami.com/,25.72141,-80.24756,903891.562470458,505143.218776062,ABREUI,2018/04/13 16:20:00+00,E316899,2021/06/25 08:38:50+00,1ae90f04-42aa-402c-9979-6c4242596d9c,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8939766.5444,2982733.9048,12,0430020000160,Nuevo Amanecer Daycare Preschool,5042 W 12th Ave, ,Hialeah,33012,305-362-1112,,Maria Arias, , ,KG-02,C,Y,5771,59,Active,https://www.facebook.com/pages/Nuevo-Amanecer-Daycare/162789413750572,25.86794,-80.30729,883945.812435884,558292.062601559,ABREUI,2018/04/30 16:37:05+00,E316899,2021/09/16 16:02:46+00,8157163e-7f7c-46d0-9c62-1ef42ac9edfc,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8945991.9073,2948422.8548,13,3060050810010,Little Genius Learn and Play,18950 SW 106th Ave ,"123,124",Miami,33157,305-235-5150,,Ana Maria Vazquez,,,PK-01,C,,8824,,Active,https://little-genius-learn-and-play.business.site/,25.59027,-80.36321,866043.437251214,457280.732459493,E316899,2020/11/04 18:20:05+00,E316899,2020/11/04 18:20:05+00,62ad115b-4721-4cf3-9df8-00775fa7acac,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
-8926797.7098,2974742.8751,14,0132300170230,Cherry Blossom Learning Center II,2731 NE 2nd Ave, ,Miami,33137,305-573-4445,,Claudia Uribe-Orrett, ,N,PK-KG,C,Y,6268,20,Active,http://www.cherryblossommiami.com/locations.html,25.80333,-80.1908,922399.874807697,535027.4998919,ABREUI,2018/04/30 16:37:05+00,ABREUI,2018/04/30 16:37:05+00,710845f7-b40e-4cd6-8cc9-32e00a4bec1e,2025/01/28 16:27:14.070+00,MDPublisher,2025/01/28 16:27:14.070+00,MDPublisher
