ZIP,HOSPITAL_COUNT,FIRE_STATION_COUNT,POLICE_STATION_COUNT,PUBLIC_SCHOOL_COUNT,PRIVATE_SCHOOL_COUNT,PARK_COUNT,PLAYGROUND_COUNT,TOTAL_CAPACITY,WEIGHTED_RATING
33004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33010,1.0,0.0,0.0,4.0,29.0,11.0,0.0,827.0,Medium
33012,0.0,0.0,0.0,8.0,41.0,8.0,0.0,0.0,Medium
33013,1.0,0.0,0.0,8.0,18.0,2.0,0.0,0.0,Low
33014,1.0,1.0,1.0,9.0,31.0,76.0,0.0,294.0,High
33015,1.0,1.0,0.0,8.0,18.0,10.0,0.0,40.0,Medium
33016,2.0,2.0,0.0,4.0,23.0,24.0,0.0,746.0,Medium
33018,0.0,0.0,0.0,9.0,13.0,9.0,0.0,0.0,Low
33019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33030,0.0,1.0,0.0,11.0,24.0,16.0,0.0,447.0,Medium
33031,0.0,1.0,0.0,4.0,3.0,4.0,0.0,0.0,Low
33032,0.0,2.0,0.0,6.0,15.0,10.0,0.0,25.0,Medium
33033,1.0,1.0,0.0,7.0,15.0,12.0,0.0,591.0,Medium
33034,0.0,0.0,0.0,3.0,16.0,8.0,0.0,1075.0,Low
33035,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,Low
33039,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Low
33054,0.0,2.0,0.0,9.0,22.0,5.0,0.0,0.0,Medium
33055,0.0,1.0,0.0,8.0,6.0,6.0,0.0,0.0,Low
33056,0.0,1.0,0.0,10.0,19.0,8.0,0.0,220.0,Medium
33060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33102,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Low
