ZIP,INCOME,Population,HOSPITAL_COUNT,FIRE_STATION_COUNT,POLICE_STATION_COUNT,PUBLIC_SCHOOL_COUNT,PRIVATE_SCHOOL_COUNT,PARK_COUNT,PLAYGROUND_COUNT,HOTEL_COUNT,TOTAL_CAPACITY,FACILITY_SCORE_WEIGHTED,WEIGHTED_RATING
33004,0.0,16691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33009,0.0,44021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33010,40742.0,42132.0,1.0,0.0,0.0,4.0,29.0,11.0,0.0,19.0,827.0,105.27,Medium
33012,35260.0,69408.0,0.0,0.0,0.0,8.0,41.0,8.0,0.0,0.0,0.0,122.0,Medium
33013,54194.0,29100.0,1.0,0.0,0.0,8.0,18.0,2.0,0.0,0.0,0.0,69.0,Low
33014,75460.0,40742.0,1.0,1.0,1.0,9.0,31.0,76.0,0.0,2.0,294.0,256.94,High
33015,73359.0,68430.0,1.0,1.0,0.0,8.0,18.0,10.0,0.0,1.0,40.0,89.4,Medium
33016,65725.0,45285.0,2.0,2.0,0.0,4.0,23.0,24.0,0.0,5.0,746.0,131.46,Medium
33018,90734.0,56395.0,0.0,0.0,0.0,9.0,13.0,9.0,0.0,0.0,0.0,71.0,Low
33019,0.0,13168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33020,0.0,44112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33021,0.0,49064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33023,0.0,70914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33024,0.0,75579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33025,0.0,74512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33026,0.0,30400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33027,0.0,63486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33028,0.0,27984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33029,0.0,44109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33030,49035.0,35957.0,0.0,1.0,0.0,11.0,24.0,16.0,0.0,11.0,447.0,121.47,Medium
33031,141397.0,7795.0,0.0,1.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,30.0,Low
33032,80208.0,62021.0,0.0,2.0,0.0,6.0,15.0,10.0,0.0,1.0,25.0,76.25,Medium
33033,65907.0,69075.0,1.0,1.0,0.0,7.0,15.0,12.0,0.0,6.0,591.0,89.91,Medium
33034,0.0,0.0,0.0,0.0,0.0,3.0,16.0,8.0,0.0,15.0,1075.0,67.75,Low
33035,75617.0,18756.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,19.0,Low
33039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Low
33054,45087.0,31165.0,0.0,2.0,0.0,9.0,22.0,5.0,0.0,0.0,0.0,89.0,Medium
33055,60417.0,37226.0,0.0,1.0,0.0,8.0,6.0,6.0,0.0,0.0,0.0,52.0,Low
33056,57232.0,37318.0,0.0,1.0,0.0,10.0,19.0,8.0,0.0,1.0,220.0,90.2,Medium
33060,0.0,35888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33062,0.0,25495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33063,0.0,55539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33064,0.0,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33065,0.0,59653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33066,0.0,16673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
